gene_short_name	Day04_BR2	Day04_BR3	Day04_BR4
Migut.O00792	4.444275486	1.591763781	4.735958027
Migut.H01000	5.478138194	9.316967781	6.577661123
Migut.E01377	11088.11768	11434.35573	9339.25822
Migut.F01311	3.834361271	3.18450231	2.898789623
Migut.I00820	2.041082998	1.93247576	1.666510634
Migut.A00612	0.406570565	0.607794796	1.806242965
Migut.L01838	7.126692415	5.05074293	4.601817368
Migut.D01916	1.706831663	1.10254103	1.442178573
Migut.H00836	171.2409732	196.7623474	243.9623865
Migut.D01776	1.859609942	1.925532734	0.753950778
Migut.F01693	82.80240766	60.8071066	132.4400657
Migut.G00651	4.308952996	3.220792934	3.725141417
Migut.F00141	128.5782181	146.7628458	129.7760098
Migut.E01033	0.681280406	0.67897797	0.392650041
Migut.H01387	1.378864959	1.431463526	0.827809204
Migut.C00658	4.210462641	4.417087453	5.321630595
Migut.A00696	20.81281495	17.75782759	8.678260866
Migut.B00972	18.63818032	16.53061516	21.2784593
Migut.K00191	1.397954822	0.840742442	0.752448884
Migut.N02167	1.333282646	1.453349539	2.401330831
Migut.H00968	2.591149165	1.824516221	2.570139469
Migut.F00901	4.152504856	4.548750636	3.266662473
Migut.F01745	1.584463573	3.2299952	3.804965875
Migut.D02518	3.184089477	2.644440514	2.070884537
Migut.C01381	10.68019792	14.61813546	13.92060686
Migut.O00733	5.06963967	8.420844096	6.492983922
Migut.F01515	92.40250903	76.46679633	124.4693465
Migut.B01445	730.2966932	702.4353027	674.0221802
Migut.E00402	6.258382765	3.753889696	3.618097123
Migut.D02062	6.651209129	7.668877492	4.078049551
Migut.H00244	20.64039178	18.32441721	22.21937292
Migut.G00616	1.855757671	2.620105172	2.673874514
Migut.O00113	2.1081271	1.866021986	3.197370349
Migut.J01352	13.5770416	11.69052168	5.274210124
Migut.F01249	1.002328758	1.516250212	1.461401633
Migut.F00134	0.604427521	1.369056397	1.055625906
Migut.M00594	0.950749629	1.1220827	0.660912187
Migut.M01954	30.61329401	38.43996965	41.4253678
Migut.D02257	108.4188173	75.63668568	84.61678755
Migut.B01735	2.46710479	1.870801002	1.416742613
Migut.K01358	5.633076664	6.825287476	6.856350847
Migut.J01121	1.57925723	2.724092337	2.187959567
Migut.D01911	1.057388016	1.693630442	1.269617487
Migut.G01241	0.613152365	0.763850216	2.290458574
Migut.N01183	1.605565288	0.800069582	1.0024664
Migut.E01767	89.39905907	62.51603612	81.23211605
Migut.I00156	10.9832134	17.1593495	9.404319067
Migut.D01992	4.579507176	2.402121264	1.519367938
Migut.O00211	510.6669983	498.6602362	409.0025751
